番号,名詞1,助詞1,名詞2,助詞2,名詞3,助詞3,動詞,子ども用解説,大人用解説,,
670,先生,が,問題,を,,,解く,「を」は対象だよ。,対格。,,
671,ぼく,は,夜,に,映画,を,見る,「に」は時間、「を」は対象だよ。,時間＋対象。,,
672,わたし,は,学校,で,勉強,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
673,ねこ,が,窓,の,外,を,見る,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
674,犬,が,道,で,,,止まる,「で」は場所だよ。,動作場所。,,
675,先生,が,学生,と,話,を,する,「と」はあいて、「を」は対象だよ。,共同＋対象。,,
676,ぼく,は,友達,に,連絡,を,する,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
677,わたし,は,朝,から,勉強,を,続ける,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
678,鳥,が,山,に,,,戻る,「に」は行き先だよ。,到達点。,,
679,友達,が,教室,で,発表,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
680,先生,が,本,について,話,を,する,「について」はそのこと、「を」は対象だよ。,複合助詞＋対象。,,
681,ぼく,は,家,で,ゲーム,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
682,わたし,は,駅,へ,,,急ぐ,「へ」は行き先だよ。,方向。,,
683,ねこ,が,棚,の,上,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
684,犬,が,庭,から,家,に,入る,「から」ははじまり、「に」は行き先だよ。,起点＋到達点。,,
685,先生,が,学生,に,宿題,を,出す,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
686,ぼく,は,図書館,で,調べ物,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
687,わたし,は,朝,に,コーヒー,を,飲む,「に」は時間、「を」は対象だよ。,時間＋対象。,,
688,鳥,が,空,を,,,飛び続ける,「を」は通る場所だよ。,経路。,,
689,友達,が,駅,で,電車,を,待つ,「で」は場所、「を」は対象だよ。,場所＋対象。,,
690,先生,が,問題,を,,,解説する,「を」は対象だよ。,対格。,,
691,ぼく,は,夜,に,映画,を,見る,「に」は時間、「を」は対象だよ。,時間＋対象。,,
692,わたし,は,学校,で,勉強,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
693,ねこ,が,窓,の,外,を,見る,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
694,犬,が,道,で,,,止まる,「で」は場所だよ。,動作場所。,,
695,先生,が,学生,と,会話,を,する,「と」はあいて、「を」は対象だよ。,共同＋対象。,,
696,ぼく,は,友達,に,電話,を,かける,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
697,わたし,は,朝,から,勉強,を,続ける,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
698,鳥,が,山,に,,,戻る,「に」は行き先だよ。,到達点。,,
699,友達,が,教室,で,発表,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
700,先生,が,本,について,話,を,する,「について」はそのこと、「を」は対象だよ。,複合助詞＋対象。,,
701,ぼく,は,将来,に,目標,を,立てる,「に」は向かう先、「を」はすることだよ。,到達点＋対象。,,
702,わたし,は,朝,に,予定,を,確認する,「に」は時間、「を」は対象だよ。,時間＋対象。,,
703,ねこ,が,庭,の,花,を,眺める,「の」はつながり、「を」は対象だよ。,連体修飾＋対格。,,
704,犬,が,飼い主,に,元気,を,示す,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
705,先生,が,学生,に,意見,を,求める,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
706,ぼく,は,友達,と,旅行,を,計画する,「と」はいっしょ、「を」は対象だよ。,共同＋対象。,,
707,わたし,は,家,から,学校,まで,歩く,「から」ははじまり、「まで」はおわりだよ。,起点＋終点。,,
708,鳥,が,空,を,高く,,飛ぶ,「を」は通る場所だよ。,経路。,,
709,友達,が,教室,に,,,入る,「に」は行き先だよ。,到達点。,,
710,先生,が,社会問題,について,説明,を,する,「について」はそのこと、「を」は対象だよ。,複合助詞＋対象。,,
711,ぼく,は,夜,まで,勉強,を,続ける,「まで」はおわり、「を」は対象だよ。,終点＋対象。,,
712,わたし,は,公園,で,写真,を,撮る,「で」は場所、「を」は対象だよ。,場所＋対象。,,
713,ねこ,が,机,の,下,で,休む,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
714,犬,が,道,を,,,走る,「を」は通る場所だよ。,経路。,,
715,先生,が,学生,と,議論,を,行う,「と」はいっしょ、「を」は対象だよ。,共同＋対象。,,
716,ぼく,は,朝,から,練習,を,始める,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
717,わたし,は,友達,に,手紙,を,送る,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
718,鳥,が,山,に,,,向かう,「に」は行き先だよ。,到達点。,,
719,友達,が,家,で,宿題,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
720,先生,が,問題,を,,,解く,「を」は対象だよ。,対格。,,
721,ぼく,は,図書館,で,本,を,読む,「で」は場所、「を」は対象だよ。,場所＋対象。,,
722,わたし,は,昼,に,昼食,を,食べる,「に」は時間、「を」は対象だよ。,時間＋対象。,,
723,ねこ,が,窓,の,外,を,見る,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
724,犬,が,家,に,,,帰る,「に」は行き先だよ。,到達点。,,
725,先生,が,学生,に,方法,を,教える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
726,ぼく,は,友達,と,会話,を,楽しむ,「と」はあいて、「を」は対象だよ。,共同＋対象。,,
727,わたし,は,駅,から,バス,で,移動する,「から」ははじまり、「で」は手段だよ。,起点＋手段。,,
728,鳥,が,川,を,,,渡る,「を」は通る場所だよ。,経路。,,
729,友達,が,学校,で,発表,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
730,先生,が,本,の,内容,を,説明する,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
731,ぼく,は,夜,に,音楽,を,聴く,「に」は時間、「を」は対象だよ。,時間＋対象。,,
732,わたし,は,公園,で,友達,と,遊ぶ,「で」は場所、「と」はいっしょだよ。,場所＋共同。,,
733,ねこ,が,棚,の,上,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
734,犬,が,庭,から,外,へ,出る,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
735,先生,が,学生,に,課題,を,出す,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
736,ぼく,は,朝,に,準備,を,する,「に」は時間、「を」は対象だよ。,時間＋対象。,,
737,わたし,は,友達,から,情報,を,得る,「から」はもと、「を」は対象だよ。,起点＋対象。,,
738,鳥,が,空,に,,,舞う,「に」は行き先だよ。,到達点。,,
739,友達,が,教室,で,意見,を,言う,「で」は場所、「を」は対象だよ。,場所＋対象。,,
740,先生,が,歴史,について,話,を,する,「について」はそのこと、「を」は対象だよ。,複合助詞＋対象。,,
741,ぼく,は,家,で,映画,を,見る,「で」は場所、「を」は対象だよ。,場所＋対象。,,
742,わたし,は,駅,へ,,,向かう,「へ」は行き先だよ。,方向。,,
743,ねこ,が,机,の,下,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
744,犬,が,庭,から,外,へ,走る,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
745,先生,が,学生,に,資料,を,渡す,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
746,ぼく,は,図書館,で,資料,を,調べる,「で」は場所、「を」は対象だよ。,場所＋対象。,,
747,わたし,は,朝,に,飲み物,を,飲む,「に」は時間、「を」は対象だよ。,時間＋対象。,,
748,鳥,が,空,を,,,飛ぶ,「を」は通る場所だよ。,経路。,,
749,友達,が,駅,で,人,を,待つ,「で」は場所、「を」は対象だよ。,場所＋対象。,,
750,先生,が,問題,を,,,説明する,「を」は対象だよ。,対格。,,
751,ぼく,は,計画,を,,,進める,「に沿って」はその通り、「を」は対象だよ。,基準＋対象。,,
752,わたし,は,朝,から,活動,を,始める,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
753,鳥,が,石,の,上,で,鳴く,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
754,犬,が,飼い主,に,愛情,を,示す,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
755,先生,が,学生,に,考え,を,求める,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
756,ぼく,は,友達,と,意見,を,交換する,「と」はあいて、「を」は対象だよ。,共同＋対象。,,
757,わたし,は,家,から,駅,まで,歩く,「から」ははじまり、「まで」はおわりだよ。,起点＋終点。,,
758,鳥,が,空,を,,,滑るように飛ぶ,「を」は通る場所だよ。,経路。,,
759,友達,が,教室,に,,,集まる,「に」は行き先だよ。,到達点。,,
760,先生,が,環境,について,説明,を,行う,「について」はそのこと、「を」は対象だよ。,複合助詞＋対象。,,
761,ぼく,は,夜,まで,読書,を,続ける,「まで」はおわり、「を」は対象だよ。,終点＋対象。,,
762,わたし,は,公園,で,写真,を,撮影する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
763,ねこ,が,机,の,下,で,静かに休む,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
764,犬,が,道,を,,,元気に走る,「を」は通る場所だよ。,経路。,,
765,先生,が,学生,と,議題,を,検討する,「と」はいっしょ、「を」は対象だよ。,共同＋対象。,,
766,ぼく,は,朝,から,運動,を,続ける,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
767,わたし,は,友達,に,連絡,を,送る,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
768,鳥,が,山,に,,,戻る,「に」は行き先だよ。,到達点。,,
769,友達,が,家,で,レポート,を,書く,「で」は場所、「を」は対象だよ。,場所＋対象。,,
770,先生,が,問題,を,,,詳しく解説する,「を」は対象だよ。,対格。,,
771,ぼく,は,図書館,で,資料,を,読む,「で」は場所、「を」は対象だよ。,場所＋対象。,,
772,わたし,は,昼,に,昼食,を,とる,「に」は時間、「を」は対象だよ。,時間＋対象。,,
773,ねこ,が,窓,の,外,を,見つめる,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
774,犬,が,家,に,,,帰る,「に」は行き先だよ。,到達点。,,
775,先生,が,学生,に,知識,を,伝える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
776,ぼく,は,友達,と,会話,を,続ける,「と」はあいて、「を」は対象だよ。,共同＋対象。,,
777,わたし,は,駅,から,電車,で,移動する,「から」ははじまり、「で」は手段だよ。,起点＋手段。,,
778,鳥,が,川,を,,,越える,「を」は通る場所だよ。,経路。,,
779,友達,が,学校,で,発表,を,行う,「で」は場所、「を」は対象だよ。,場所＋対象。,,
780,先生,が,本,の,要点,を,説明する,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
781,ぼく,は,夜,に,音楽,を,楽しむ,「に」は時間、「を」は対象だよ。,時間＋対象。,,
782,わたし,は,公園,で,友達,と,話す,「で」は場所、「と」はいっしょだよ。,場所＋共同。,,
783,ねこ,が,棚,の,上,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
784,犬,が,庭,から,外,へ,出る,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
785,先生,が,学生,に,課題,を,提示する,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
786,ぼく,は,朝,に,準備,を,整える,「に」は時間、「を」は対象だよ。,時間＋対象。,,
787,わたし,は,友達,から,助言,を,受ける,「から」はもと、「を」は対象だよ。,起点＋対象。,,
788,鳥,が,空,に,,,舞い上がる,「に」は行き先だよ。,到達点。,,
789,友達,が,教室,で,意見,を,述べる,「で」は場所、「を」は対象だよ。,場所＋対象。,,
790,先生,が,歴史,について,解説,を,行う,「について」はそのこと、「を」は対象だよ。,複合助詞＋対象。,,
791,ぼく,は,家,で,映画,を,鑑賞する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
792,わたし,は,駅,へ,,,急ぐ,「へ」は行き先だよ。,方向。,,
793,ねこ,が,机,の,下,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
794,犬,が,庭,から,外,へ,飛び出す,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
795,先生,が,学生,に,資料,を,配布する,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
796,ぼく,は,図書館,で,文献,を,調べる,「で」は場所、「を」は対象だよ。,場所＋対象。,,
797,わたし,は,朝,に,飲み物,を,用意する,「に」は時間、「を」は対象だよ。,時間＋対象。,,
798,鳥,が,空,を,,,旋回する,「を」は通る場所だよ。,経路。,,
799,友達,が,駅,で,人,を,待つ,「で」は場所、「を」は対象だよ。,場所＋対象。,,
800,先生,が,問題,を,,,分析する,「を」は対象だよ。,対格。,,
801,ぼく,は,課題,に,時間,を,使う,「に」は目的、「を」は対象だよ。,目的＋対象。,,
802,わたし,は,朝,に,計画,を,見直す,「に」は時間、「を」は対象だよ。,時間＋対象。,,
803,ねこ,が,窓,の,外,で,動く,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
804,犬,が,飼い主,に,信頼,を,示す,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
805,先生,が,学生,に,評価,を,伝える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
806,ぼく,は,友達,と,課題,を,分担する,「と」はあいて、「を」は対象だよ。,共同＋対象。,,
807,わたし,は,家,から,職場,まで,通う,「から」ははじまり、「まで」はおわりだよ。,起点＋終点。,,
808,鳥,が,空,を,,,滑空する,「を」は通る場所だよ。,経路。,,
809,友達,が,教室,に,,,戻る,「に」は行き先だよ。,到達点。,,
810,先生,が,社会,について,考察,を,行う,「について」はそのこと、「を」は対象だよ。,複合助詞＋対象。,,
811,ぼく,は,夜,まで,作業,を,続ける,「まで」はおわり、「を」は対象だよ。,終点＋対象。,,
812,わたし,は,公園,で,景色,を,楽しむ,「で」は場所、「を」は対象だよ。,場所＋対象。,,
813,ねこ,が,机,の,下,で,丸くなる,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
814,犬,が,道,を,,,ゆっくり歩く,「を」は通る場所だよ。,経路。,,
815,先生,が,学生,と,内容,を,確認する,「と」はいっしょ、「を」は対象だよ。,共同＋対象。,,
816,ぼく,は,朝,から,勉強,を,進める,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
817,わたし,は,友達,に,質問,を,送る,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
818,鳥,が,山,に,,,飛ぶ,「に」は行き先だよ。,到達点。,,
819,友達,が,家,で,準備,を,進める,「で」は場所、「を」は対象だよ。,場所＋対象。,,
820,先生,が,問題,を,,,解説する,「を」は対象だよ。,対格。,,
821,ぼく,は,図書館,で,研究,を,進める,「で」は場所、「を」は対象だよ。,場所＋対象。,,
822,わたし,は,昼,に,食事,を,とる,「に」は時間、「を」は対象だよ。,時間＋対象。,,
823,ねこ,が,窓,の,外,を,見渡す,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
824,犬,が,家,に,,,戻る,「に」は行き先だよ。,到達点。,,
825,先生,が,学生,に,方法,を,説明する,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
826,ぼく,は,友達,と,意見,を,共有する,「と」はあいて、「を」は対象だよ。,共同＋対象。,,
827,わたし,は,駅,から,徒歩,で,移動する,「から」ははじまり、「で」は手段だよ。,起点＋手段。,,
828,鳥,が,川,を,,,越えていく,「を」は通る場所だよ。,経路。,,
829,友達,が,学校,で,活動,を,行う,「で」は場所、「を」は対象だよ。,場所＋対象。,,
830,先生,が,本,の,内容,を,整理する,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
831,ぼく,は,夜,に,読書,を,楽しむ,「に」は時間、「を」は対象だよ。,時間＋対象。,,
832,わたし,は,公園,で,友達,と,会話する,「で」は場所、「と」はいっしょだよ。,場所＋共同。,,
833,ねこ,が,棚,の,上,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
834,犬,が,庭,から,外,へ,出る,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
835,先生,が,学生,に,課題,を,与える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
836,ぼく,は,朝,に,準備,を,進める,「に」は時間、「を」は対象だよ。,時間＋対象。,,
837,わたし,は,友達,から,情報,を,集める,「から」はもと、「を」は対象だよ。,起点＋対象。,,
838,鳥,が,空,に,,,飛び立つ,「に」は行き先だよ。,到達点。,,
839,友達,が,教室,で,発言,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
840,先生,が,歴史,について,説明,を,する,「について」はそのこと、「を」は対象だよ。,複合助詞＋対象。,,
841,ぼく,は,家,で,映画,を,見る,「で」は場所、「を」は対象だよ。,場所＋対象。,,
842,わたし,は,駅,へ,,,向かう,「へ」は行き先だよ。,方向。,,
843,ねこ,が,机,の,下,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
844,犬,が,庭,から,外,へ,走る,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
845,先生,が,学生,に,資料,を,渡す,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
846,ぼく,は,図書館,で,資料,を,読む,「で」は場所、「を」は対象だよ。,場所＋対象。,,
847,わたし,は,朝,に,飲み物,を,飲む,「に」は時間、「を」は対象だよ。,時間＋対象。,,
848,鳥,が,空,を,,,飛び回る,「を」は通る場所だよ。,経路。,,
849,友達,が,駅,で,人,を,待つ,「で」は場所、「を」は対象だよ。,場所＋対象。,,
850,先生,が,問題,を,,,説明する,「を」は対象だよ。,対格。,,
851,ぼく,は,結果,に,判断,を,下す,「に基づいて」はもとにして、「を」は対象だよ。,根拠＋対象。,,
852,わたし,は,朝,から,活動,を,続ける,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
853,ねこ,が,庭,の,すみ,で,静かに休む,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
854,犬,が,飼い主,に,信頼,を,寄せる,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
855,先生,が,学生,に,評価,を,伝える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
856,ぼく,は,友達,と,考え,を,共有する,「と」はあいて、「を」は対象だよ。,共同＋対象。,,
857,わたし,は,家,から,駅,まで,急ぐ,「から」ははじまり、「まで」はおわりだよ。,起点＋終点。,,
858,鳥,が,空,を,,,大きく旋回する,「を」は通る場所だよ。,経路。,,
859,友達,が,教室,に,,,戻る,「に」は行き先だよ。,到達点。,,
860,先生,が,社会問題,について,考察,を,行う,「について」はそのこと、「を」は対象だよ。,複合助詞＋対象。,,
861,ぼく,は,夜,まで,撮影,を,続ける,「まで」はおわり、「を」は対象だよ。,終点＋対象。,,
862,わたし,は,公園,で,景色,を,楽しむ,「で」は場所、「を」は対象だよ。,場所＋対象。,,
863,ねこ,が,机,の,下,で,丸くなる,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
864,犬,が,道,を,,,ゆっくり歩く,「を」は通る場所だよ。,経路。,,
865,先生,が,学生,と,内容,を,確認する,「と」はいっしょ、「を」は対象だよ。,共同＋対象。,,
866,ぼく,は,朝,から,勉強,を,進める,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
867,わたし,は,友達,に,質問,を,送る,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
868,鳥,が,山,に,,,飛ぶ,「に」は行き先だよ。,到達点。,,
869,友達,が,家,で,準備,を,進める,「で」は場所、「を」は対象だよ。,場所＋対象。,,
870,先生,が,問題,を,,,詳しく説明する,「を」は対象だよ。,対格。,,
871,ぼく,は,図書館,で,研究,を,進める,「で」は場所、「を」は対象だよ。,場所＋対象。,,
872,わたし,は,昼,に,食事,を,とる,「に」は時間、「を」は対象だよ。,時間＋対象。,,
873,ねこ,が,窓,の,外,を,見渡す,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
874,犬,が,家,に,,,戻る,「に」は行き先だよ。,到達点。,,
875,先生,が,学生,に,方法,を,説明する,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
876,ぼく,は,友達,と,意見,を,交換する,「と」はあいて、「を」は対象だよ。,共同＋対象。,,
877,わたし,は,駅,から,徒歩,で,帰る,「から」ははじまり、「で」は手段だよ。,起点＋手段。,,
878,鳥,が,川,を,,,越える,「を」は通る場所だよ。,経路。,,
879,友達,が,学校,で,活動,を,行う,「で」は場所、「を」は対象だよ。,場所＋対象。,,
880,先生,が,本,の,内容,を,整理する,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
881,ぼく,は,夜,に,読書,を,楽しむ,「に」は時間、「を」は対象だよ。,時間＋対象。,,
882,わたし,は,公園,で,友達,と,会話する,「で」は場所、「と」はいっしょだよ。,場所＋共同。,,
883,ねこ,が,棚,の,上,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
884,犬,が,庭,から,外,へ,出る,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
885,先生,が,学生,に,課題,を,与える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
886,ぼく,は,朝,に,準備,を,進める,「に」は時間、「を」は対象だよ。,時間＋対象。,,
887,わたし,は,友達,から,情報,を,集める,「から」はもと、「を」は対象だよ。,起点＋対象。,,
888,鳥,が,空,に,,,飛び立つ,「に」は行き先だよ。,到達点。,,
889,友達,が,教室,で,発言,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
890,先生,が,歴史,について,説明,を,する,「について」はそのこと、「を」は対象だよ。,複合助詞＋対象。,,
891,ぼく,は,家,で,映画,を,鑑賞する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
892,わたし,は,駅,へ,,,向かう,「へ」は行き先だよ。,方向。,,
893,ねこ,が,机,の,下,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
894,犬,が,庭,から,外,へ,走る,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
895,先生,が,学生,に,資料,を,配る,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
896,ぼく,は,図書館,で,文献,を,調べる,「で」は場所、「を」は対象だよ。,場所＋対象。,,
897,わたし,は,朝,に,飲み物,を,用意する,「に」は時間、「を」は対象だよ。,時間＋対象。,,
898,鳥,が,空,を,,,飛び回る,「を」は通る場所だよ。,経路。,,
899,友達,が,駅,で,人,を,待つ,「で」は場所、「を」は対象だよ。,場所＋対象。,,
900,先生,が,問題,を,,,分析する,「を」は対象だよ。,対格。,,
901,ぼく,は,行動,を,,,起こす,「を」は対象だよ。,対象。,,
902,わたし,は,朝,から,準備,を,進める,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
903,ねこ,が,庭,の,すみ,で,休む,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
904,犬,が,飼い主,に,安心,を,与える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
905,先生,が,学生,に,助言,を,する,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
906,ぼく,は,友達,と,問題,を,解決する,「と」はあいて、「を」は対象だよ。,共同＋対象。,,
907,わたし,は,家,から,学校,まで,通う,「から」ははじまり、「まで」はおわりだよ。,起点＋終点。,,
908,鳥,が,空,を,,,飛び続ける,「を」は通る場所だよ。,経路。,,
909,友達,が,教室,に,,,入る,「に」は行き先だよ。,到達点。,,
910,先生,が,社会,について,説明,を,する,「について」はそのこと、「を」は対象だよ。,複合助詞＋対象。,,
911,わたし,は,夜,まで,作業,を,続ける,「まで」はおわり、「を」は対象だよ。,終点＋対象。,,
912,わたし,は,公園,で,自然,を,感じる,「で」は場所、「を」は対象だよ。,場所＋対象。,,
913,ねこ,が,机,の,下,で,休む,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
914,犬,が,道,を,,,歩く,「を」は通る場所だよ。,経路。,,
915,先生,が,学生,と,議題,を,話し合う,「と」はいっしょ、「を」は対象だよ。,共同＋対象。,,
916,ぼく,は,朝,から,活動,を,始める,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
917,わたし,は,友達,に,相談,を,する,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
918,鳥,が,山,に,,,向かう,「に」は行き先だよ。,到達点。,,
919,友達,が,家,で,準備,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
920,先生,が,問題,を,,,解説する,「を」は対象だよ。,対格。,,
921,ぼく,は,図書館,で,課題,を,進める,「で」は場所、「を」は対象だよ。,場所＋対象。,,
922,わたし,は,昼,に,食事,を,とる,「に」は時間、「を」は対象だよ。,時間＋対象。,,
923,ねこ,が,窓,の,外,を,見る,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
924,犬,が,家,に,,,戻る,「に」は行き先だよ。,到達点。,,
925,先生,が,学生,に,知識,を,伝える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
926,ぼく,は,友達,と,会話,を,する,「と」はあいて、「を」は対象だよ。,共同＋対象。,,
927,わたし,は,駅,から,徒歩,で,移動する,「から」ははじまり、「で」は手段だよ。,起点＋手段。,,
928,鳥,が,川,を,,,渡る,「を」は通る場所だよ。,経路。,,
929,友達,が,学校,で,活動,を,行う,「で」は場所、「を」は対象だよ。,場所＋対象。,,
930,先生,が,本,の,内容,を,説明する,「の」はつながり、「を」は対象だよ。,連体修飾＋対象。,,
931,ぼく,は,夜,に,音楽,を,聴く,「に」は時間、「を」は対象だよ。,時間＋対象。,,
932,わたし,は,公園,で,友達,と,話す,「で」は場所、「と」はいっしょだよ。,場所＋共同。,,
933,ねこ,が,棚,の,上,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
934,犬,が,庭,から,外,へ,出る,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
935,先生,が,学生,に,課題,を,出す,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
936,ぼく,は,朝,に,準備,を,する,「に」は時間、「を」は対象だよ。,時間＋対象。,,
937,わたし,は,友達,から,情報,を,得る,「から」はもと、「を」は対象だよ。,起点＋対象。,,
938,鳥,が,空,に,,,舞う,「に」は行き先だよ。,到達点。,,
939,友達,が,教室,で,発言,を,する,「で」は場所、「を」は対象だよ。,場所＋対象。,,
940,先生,が,歴史,について,話,を,する,「について」はそのこと、「を」は対象だよ。,複合助詞＋対象。,,
941,ぼく,は,家,で,映画,を,見る,「で」は場所、「を」は対象だよ。,場所＋対象。,,
942,わたし,は,駅,へ,,,向かう,「へ」は行き先だよ。,方向。,,
943,ねこ,が,机,の,下,で,眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
944,犬,が,庭,から,外,へ,走る,「から」ははじまり、「へ」は行き先だよ。,起点＋方向。,,
945,先生,が,学生,に,資料,を,渡す,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
946,ぼく,は,図書館,で,資料,を,読む,「で」は場所、「を」は対象だよ。,場所＋対象。,,
947,わたし,は,朝,に,飲み物,を,飲む,「に」は時間、「を」は対象だよ。,時間＋対象。,,
948,鳥,が,空,を,,,飛ぶ,「を」は通る場所だよ。,経路。,,
949,友達,が,駅,で,人,を,待つ,「で」は場所、「を」は対象だよ。,場所＋対象。,,
950,先生,が,問題,を,,,説明する,「を」は対象だよ。,対格。,,
951,ぼく,は,結果,で,評価,を,変える,「で」は理由やちがい、「を」は対象だよ。,原因・手段＋対象。,,
952,わたし,は,朝,から,準備,を,進める,「から」ははじまり、「を」は対象だよ。,起点＋対象。,,
953,ねこ,が,庭,の,すみ,で,静かに眠る,「の」はつながり、「で」は場所だよ。,連体修飾＋場所。,,
954,犬,が,飼い主,に,安心,を,与える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
955,先生,が,学生,に,助言,を,与える,「に」はあいて、「を」は対象だよ。,受け手＋対象。,,
956,ぼく,は,友達,と,問題,を,解決する,「と」はあいて、「を」は対象だよ。,共同＋対象。,,
